SUPPLIERS AND EMPLOYEE WEIGHTING RATIO,,,,,,,,,,,,,,,,
,added value of suppliers (source: income statement),Splitted added value (source¿?),Country,PPP index (source¿?),Added value adjusted,Total,%,ITUC (average),Industry,nace,ecol. Impact (A3),,,social impact (A1),,
COG Congo ,"Congo, Rep.",2.13525733488785000,-,Africa,3.7900000000000000,,,,COG,,,,,,,
COL Colombia ,Colombia,1.95182356759191000,-,Americas,5.0000000000000000,,,,COL,,,,,,,
COM Comoros ,Comoros,2.07895326369910000,-,Africa,3.7900000000000000,est,,,COM,,,,,,,
CPV Cape Verde ,Cabo Verde,1.98269938566558000,-,Africa,3.7900000000000000,est,,,CPV,,,,,,,
CRI Costa Rica ,Costa Rica,1.78681027733193000,-,Americas,2.0000000000000000,,,,CRI,,,,,,,
CUB Cuba ,Cuba,1.83434611496898000,est,Americas,3.5200000000000000,est,,,CUB,,,,,,,
CUW Curaçao ,Curacao,1.83434611496898000,est,Americas,3.5200000000000000,est,,,CUW,,,,,,,
CYM Cayman Islands ,Cayman Islands,0.89501403196916300,2017,Americas,3.5200000000000000,est,,,CYM,,,,,,,
CYP Cyprus ,Cyprus,1.22233402594704000,-,Asia,4.4700000000000000,est,,,CYP,,,,,,,
CZE Czech Republic ,Czech Republic,1.70143470418326000,-,Europe,2.0000000000000000,,,,CZE,,,,,,,
DEU Germany ,Germany,1.11788030334198000,-,Europe,1.0000000000000000,,,,DEU,,,,,,,
DJI Djibouti ,Djibouti,2.51455039477944000,est,Africa,4.0000000000000000,est,,,DJI,,,,,,,
DMA Dominica ,Dominica,1.66257623602982000,-,Americas,2.0000000000000000,est,,,DMA,,,,,,,
DNK Denmark ,Denmark,0.87158518994906800,-,Europe,1.0000000000000000,,,,DNK,,,,,,,
DOM Dominican Republic ,Dominican Republic,2.30564075665491000,-,Americas,2.0000000000000000,,,,DOM,,,,,,,
DZA Algeria ,Algeria,3.24948929327900000,-,Africa,5.0000000000000000,,,,DZA,,,,,,,
ECU Ecuador ,Ecuador,2.26310133150859000,-,Americas,5.0000000000000000,,,,ECU,,,,,,,
EGY Egypt ,"Egypt, Arab Rep.",4.26933385807462000,-,Africa,5.0000000000000000,,,,EGY,,,,,,,
ERI Eritrea ,Eritrea,2.51455039477944000,est,Africa,5.0000000000000000,est,,,ERI,,,,,,,
ESP Spain ,Spain,1.20533969388003000,-,Europe,3.0000000000000000,,,,ESP,,,,,,,
EST Estonia ,Estonia,1.80282358890045000,-,Europe,2.0000000000000000,,,,EST,,,,,,,
ETH Ethiopia ,Ethiopia,3.54570898327038000,-,Africa,4.0000000000000000,,,,ETH,,,,,,,
FIN Finland ,Finland,0.99318659849216000,-,Europe,1.0000000000000000,,,,FIN,,,,,,,
FJI Fiji ,Fiji,2.26882944235556000,-,Oceania,4.0000000000000000,est,,,FJI,,,,,,,
